"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"ENSG00000198743","ENSG00000198743",0.143481954579304,13.495088932675,7.85730120301499,16.504911067325,0.0776259251404714,0.103734588959638,0.342557205929299
"ENSG00000198746","ENSG00000198746",0.0483642567242731,4.21474496319246,3.09458001973637,1.78525503680754,0.0404604195324184,0.316725511930991,0.556110651460554
"ENSG00000198752","ENSG00000198752",0.0472515644347865,0.21277975907285,7.11409057664755,5.78722024092715,0.0139061985880242,0.679227393610955,0.809119274540053
"ENSG00000198753","ENSG00000198753",0.152458391643254,19.9182601975943,4.64235319633247,10.0817398024057,0.0328438204311723,0.395536850624913,0.613167614835629
"ENSG00000198755","ENSG00000198755",0.107931351620267,8.49585883949393,7.28384385204576,-2.49585883949393,0.0747214689709202,0.113403198236858,0.355661012473615
"ENSG00000198756","ENSG00000198756",0.114245534516443,17.1405781944443,5.41526197203293,12.8594218055557,0.0547136872076459,0.207860860600587,0.464409897884104
"ENSG00000198763","ENSG00000198763",0.300693981260384,19.5337406772767,6.78056794309951,10.4662593227233,0.107905106964786,0.0397791706010884,0.227712727899434
"ENSG00000198771","ENSG00000198771",0.0460424438995537,12.8153740854272,3.54400272001203,17.1846259145728,0.00888266364378087,0.781992078371726,0.87289428934252
"ENSG00000198774","ENSG00000198774",0.739735956701173,18.2485281501767,1.40781466203941,11.7514718498233,0.068302706934335,0.137960245885882,0.384323199969211
"ENSG00000198780","ENSG00000198780",0.0902363732460143,12.5152282129239,7.68678790337343,17.4847717870761,0.0884113310780805,0.074113068927159,0.297266705037506
"ENSG00000198783","ENSG00000198783",0.0814205122461518,10.9331414077957,3.720776632428,-4.93314140779565,0.0517645069345941,0.226937869697165,0.482426406095291
"ENSG00000198785","ENSG00000198785",0.664257527799339,12.4405241210548,3.1772784740463,17.5594758789452,0.0714978813044751,0.12518039690251,0.369538895535429
"ENSG00000198786","ENSG00000198786",0.249837606465711,20.5237407159436,7.23217654288788,9.4762592840564,0.0518083897721977,0.22663386841469,0.482147813330161
"ENSG00000198791","ENSG00000198791",0.0825057831800259,12.064415983561,7.45615599856042,17.935584016439,0.0440018211139931,0.285551337116895,0.53176652065136
"ENSG00000198792","ENSG00000198792",0.0313303218820117,20.7221434733148,5.41862183274533,9.27785652668521,0.00338886811723726,0.910870375547479,0.948810413613023
"ENSG00000198793","ENSG00000198793",0.065230956403588,3.7421706168972,7.28074157664212,2.2578293831028,0.153821126413156,0.00852158278772763,0.104928404928405
"ENSG00000198794","ENSG00000198794",0.0587942298300075,4.07394635361275,6.95972364680173,1.92605364638725,0.0594022754340133,0.180634205976672,0.434304011546797
"ENSG00000198795","ENSG00000198795",0.0512799122422569,16.1262879529193,5.4272549036786,13.8737120470807,0.017540015387565,0.612934716946459,0.767231910736442
"ENSG00000198797","ENSG00000198797",0.080637743923708,7.63090121249705,5.54518112972685,-1.63090121249705,0.0348423929183476,0.373213707362435,0.598565207153972
"ENSG00000198799","ENSG00000198799",0.0506500804148181,18.7443828269899,6.16724512023656,11.2556171730101,0.057147418391849,0.193239539325645,0.447621960994581
"ENSG00000198804","ENSG00000198804",0.239221151633831,18.713002382704,11.6846372336678,11.286997617296,0.212957694682531,0.00102646863899314,0.0312217544360413
"ENSG00000198805","ENSG00000198805",0.0529435155879136,10.4622737100211,3.54474288676338,-4.46227371002114,0.0158191610862133,0.643553282985768,0.785608522708379
"ENSG00000198814","ENSG00000198814",0.115212433667274,14.5851276716426,4.3112218630742,15.4148723283574,0.14992607950465,0.00975909283149989,0.112347142729739
