"","genes","A","phase","offset","peak","R2","pvalue","qvalue","peak_CI_left","peak_CI_right"
"ENSG00000120696","ENSG00000120696",0.111075168734885,11.8107073593093,5.30608770807316,-5.8107073593093,0.0937492103124152,0.0777649291347922,0.343040590019876,14.9810165247221,-4.0713524243555
"ENSG00000120697","ENSG00000120697",0.111521128292804,13.6749387323872,3.92297840221541,16.3250612676128,0.166876929989877,0.00987665302733798,0.151863636363636,14.3052657852626,17.5393000972335
"ENSG00000120699","ENSG00000120699",0.0329888451407728,15.6790344625865,4.01173281920063,14.3209655374135,0.0195500861961244,0.592596216568819,0.76289049378569,10.8641486429408,-4.61329766746032
"ENSG00000120705","ENSG00000120705",0.0441755019254219,11.8875336721478,6.80938404018392,-5.88753367214782,0.0279584931428196,0.474805787819486,0.6871647657544,14.5185200458887,-0.981334372959814
"ENSG00000120708","ENSG00000120708",0.105684524763762,13.9675122051205,2.28703617915629,16.0324877948795,0.0124454748228433,0.715261222795469,0.835289596144258,10.6639170610568,-1.21572395257808
"ENSG00000120709","ENSG00000120709",0.0288141355522463,17.4019703086311,5.60567857152814,12.5980296913689,0.0268250940418753,0.489370218822274,0.696416968346793,9.42143689521143,17.5446491889014
"ENSG00000120725","ENSG00000120725",0.108993139036961,5.05173380327794,4.65891134940741,0.948266196722058,0.264376028160598,0.00161596394473107,0.0955578512396726,0.153817584261415,1.34742477273245
"ENSG00000120727","ENSG00000120727",0.122995749751784,14.8489773888525,6.63978712956193,15.1510226111475,0.174543976058126,0.00807981972365535,0.14198687910028,13.4361256851141,16.7767750230229
"ENSG00000120729","ENSG00000120729",0.101456117999188,16.2273956030608,2.2588359815128,13.7726043969392,0.0178799505732162,0.61961394769614,0.778708133971292,7.78195680662372,15.095070448438
"ENSG00000120733","ENSG00000120733",0.0526316276142762,3.21278199122636,7.17861698421792,2.78721800877364,0.103532743859261,0.0586995196584238,0.309231490159325,1.06940654071498,4.97074795011237
"ENSG00000120738","ENSG00000120738",0.191478246364599,23.6693138874623,3.36861616331064,6.33068611253767,0.0288596980983717,0.463289450275752,0.678275930926108,3.03379371604768,11.105565209762
"ENSG00000120742","ENSG00000120742",0.00996396725715686,6.73733562520925,7.39128076389803,-0.737335625209255,0.00166022074034766,0.954838996619819,0.972732709873858,15.1210426402907,9.52155042255416
"ENSG00000120756","ENSG00000120756",0.245655560378645,16.9642593517009,1.4652608405032,13.0357406482991,0.0827075367562837,0.106490541422048,0.385114413776834,10.9775306275872,15.8025413142133
"ENSG00000120784","ENSG00000120784",0.0276522763701461,12.1647485852485,5.55850147047509,17.8352514147515,0.0175946201878803,0.624275040028465,0.781873885918004,11.4191222977668,-1.8772060124079
"ENSG00000120798","ENSG00000120798",0.0195200700594482,16.0633161867526,5.46063459714877,13.9366838132474,0.0173985722826061,0.627376504773765,0.784418866638009,7.29561416740017,16.8841753386918
"ENSG00000120800","ENSG00000120800",0.0575219242581716,18.1982463924495,5.62073375730046,11.8017536075505,0.167732169438361,0.00962758702484734,0.150602968460112,9.11463367319604,13.4459523586522
"ENSG00000120802","ENSG00000120802",0.0926920616290198,13.5158842446751,5.76249729468231,16.4841157553249,0.08810572014786,0.0914279784142797,0.364238801738802,12.8251852717921,-5.72006092232025
"ENSG00000120805","ENSG00000120805",0.0861444759479912,14.1152036292925,6.80321882260251,15.8847963707075,0.0643144165871068,0.177249006701061,0.462506769825919,13.5001548655836,-4.47027480277774
